Site,Animal,Population,Death,Status
Dabob,957,H,8,0
Dabob,958,H,8,0
Dabob,959,H,8,0
Dabob,960,H,8,0
Dabob,961,S,4,1
Dabob,962,S,4,1
Dabob,963,S,4,1
Dabob,964,S,4,1
Dabob,965,S,4,1
Dabob,966,S,4,1
Dabob,967,S,4,1
Dabob,968,S,4,1
Dabob,969,S,4,1
Dabob,970,S,4,1
Dabob,971,S,4,1
Dabob,972,S,4,1
Dabob,973,S,4,1
Dabob,974,S,4,1
Dabob,975,S,4,1
Dabob,976,S,4,1
Dabob,977,S,4,1
Dabob,978,S,4,1
Dabob,979,S,4,1
Dabob,980,S,4,1
Dabob,981,S,4,1
Dabob,982,S,4,1
Dabob,983,S,4,1
Dabob,984,S,4,1
Dabob,985,S,4,1
Dabob,986,S,4,1
Dabob,987,S,4,1
Dabob,988,S,4,1
Dabob,989,S,4,1
Dabob,990,S,4,1
Dabob,991,S,4,1
Dabob,992,S,4,1
Dabob,993,S,4,1
Dabob,994,S,4,1
Dabob,995,S,4,1
Dabob,996,S,4,1
Dabob,997,S,4,1
Dabob,998,S,4,1
Dabob,999,S,4,1
Dabob,1000,S,4,1
Dabob,1001,S,4,1
Dabob,1002,S,4,1
Dabob,1003,S,4,1
Dabob,1004,S,4,1
Dabob,1005,S,4,1
Dabob,1006,S,4,1
Dabob,1007,S,4,1
Dabob,1008,S,4,1
Dabob,1009,S,4,1
Dabob,1010,S,4,1
Dabob,1011,S,4,1
Dabob,1012,S,4,1
Dabob,1013,S,4,1
Dabob,1014,S,4,1
Dabob,1015,S,4,1
Dabob,1016,S,4,1
Dabob,1017,S,4,1
Dabob,1018,S,4,1
Dabob,1019,S,4,1
Dabob,1020,S,4,1
Dabob,1021,S,4,1
Dabob,1022,S,4,1
Dabob,1023,S,4,1
Dabob,1024,S,4,1
Dabob,1025,S,4,1
Dabob,1026,S,4,1
Dabob,1027,S,4,1
Dabob,1028,S,4,1
Dabob,1029,S,4,1
Dabob,1030,S,4,1
Dabob,1031,S,4,1
Dabob,1032,S,4,1
Dabob,1033,S,4,1
Dabob,1034,S,4,1
Dabob,1035,S,4,1
Dabob,1036,S,4,1
Dabob,1037,S,4,1
Dabob,1038,S,4,1
Dabob,1039,S,4,1
Dabob,1040,S,4,1
Dabob,1041,S,4,1
Dabob,1042,S,4,1
Dabob,1043,S,4,1
Dabob,1044,S,4,1
Dabob,1045,S,4,1
Dabob,1046,S,4,1
Dabob,1047,S,4,1
Dabob,1048,S,4,1
Dabob,1049,S,4,1
Dabob,1050,S,4,1
Dabob,1051,S,4,1
Dabob,1052,S,4,1
Dabob,1053,S,4,1
Dabob,1054,S,4,1
Dabob,1055,S,4,1
Dabob,1056,S,4,1
Dabob,1057,S,4,1
Dabob,1058,S,4,1
Dabob,1059,S,4,1
Dabob,1060,S,4,1
Dabob,1061,S,4,1
Dabob,1062,S,4,1
Dabob,1063,S,4,1
